mesh,x,y,z,cls,interpolated,y_um,d_nn_um,d_nn_bl,pde_shared_zone
NSML,-0.0481908544898033,-2.8440465331077576,0.5180614590644836,NSM,False,-326.49654200077055,60.784893409595774,0.5294851342299284,False
NSML,-0.0463225245475769,-2.8439345955848694,0.5194531083106995,NSM,False,-326.483691573143,60.80217977350087,0.5296357123127253,False
NSML,-0.0498882289975881,-2.843824326992035,0.5196452140808105,NSM,False,-326.4710327386856,60.79466663438832,0.5295702668500725,False
NSML,-0.0480198990553617,-2.8437123894691467,0.5210368633270264,NSM,False,-326.458182311058,60.811745995474936,0.5297190417724298,False
NSML,0.0259360177442431,-2.836464047431946,0.4882764667272568,NSM,False,-325.6260726451874,59.3801844072376,0.5172489930944042,False
NSML,0.0275268834084272,-2.8361663222312927,0.4898383095860481,NSM,False,-325.5918937921524,59.370032650983376,0.5171605631618761,False
NSML,0.0243451511487364,-2.8361663222312927,0.4898383095860481,NSM,False,-325.5918937921524,59.371510247367695,0.51717343421052,False
NSML,0.0259360168129205,-2.8358685970306396,0.4914001524448395,NSM,False,-325.55771493911743,59.36135637236936,0.5170849858220328,False
NSML,-0.0480791591107845,-2.7740960121154785,0.4880652502179146,NSM,False,-318.4662221908569,52.28784512660218,0.45546903420385176,False
NSML,-0.0462108273059129,-2.774043381214142,0.489461675286293,NSM,False,-318.4601801633835,52.30625858335735,0.455629430168618,False
NSML,-0.0497765336185693,-2.7739412784576416,0.4896584823727608,NSM,False,-318.4484587669372,52.29892415965439,0.4555655414604041,False
NSML,-0.0479082018136978,-2.773888647556305,0.4910549074411392,NSM,False,-318.4424167394638,52.317097356921884,0.45572384457249027,False
NSML,0.0259360177442431,-2.707043170928955,0.4419584572315216,NSM,False,-310.768556022644,44.06957504813675,0.38388131575032014,False
NSML,0.0243451511487364,-2.706692934036255,0.4435102790594101,NSM,False,-310.728348827362,44.041683399151836,0.38363835713546895,False
NSML,0.0275268834084272,-2.706692934036255,0.4435102790594101,NSM,False,-310.728348827362,44.039691467546305,0.3836210058148633,False
NSML,0.0259360168129205,-2.7063426971435547,0.4450621008872986,NSM,False,-310.6881416320801,44.011780868969375,0.3833778821338796,False
NSML,-0.048069879412651,-2.68507719039917,0.4580388814210892,NSM,False,-308.2468614578247,41.7077449898286,0.36330788318666024,False
NSML,-0.0462015476077795,-2.6850245594978333,0.4594353139400482,NSM,False,-308.2408194303512,41.719068832202545,0.3634065229285936,False
NSML,-0.0497672520577907,-2.684922456741333,0.4596321061253547,NSM,False,-308.229098033905,41.710866777523556,0.36333507645926444,False
NSML,-0.0478989202529192,-2.6848698258399963,0.4610285386443138,NSM,False,-308.2230560064316,41.72189339115648,0.36343112710066616,False
NSML,-0.0480750985443592,-2.640965700149536,0.4430538490414619,NSM,False,-303.1828623771667,36.50855480441391,0.31801877007329193,False
NSML,-0.0462067686021328,-2.6409130692481995,0.4444502741098404,NSM,False,-303.1768203496933,36.514773166250144,0.3180729369882417,False
NSML,-0.0497724711894989,-2.640810966491699,0.4446470737457275,NSM,False,-303.1650989532471,36.50596997644227,0.317996254150194,False
