mesh,cx,cy,cz,n_verts
Oocyte_Post_1,-0.11521250754594803,1.9344094892342885,0.13983860239386559,24
Oocyte_Post_2,-0.11316711936766903,2.0955524941285453,0.09660336045393099,24
Oocyte_Post_3,-0.11129010701552033,2.2656348447004953,0.04860031643571953,24
Oocyte_Post_4,-0.11129010996470849,2.4652062753836312,-0.015890643233433366,24
Oocyte_Post_5,-0.10016839873666565,2.692032148440679,-0.07446643706255902,24
Oocyte_Post_6,-0.08211397550379236,2.895315945148468,-0.11035890473673741,24
Oocyte_Post_7,-0.07665655078987281,3.0697600742181144,-0.1193200374643008,24
Oocyte_Post_8,-0.07360605957607429,3.2521952311197917,-0.10609103466073672,30
PDA,-0.02177101490919345,3.711022981575557,0.05742099422163197,112
PDB,-0.014952139782586268,3.8706082292965482,0.13628375328012876,140
PDEL,0.0083476619150203,0.866144166686214,-0.14571127780856422,208
PDER,-0.05426311471833373,0.8728227927437369,-0.14233113811263498,212
PHAL,0.0124088553362526,3.9647556871175764,0.0022926995530724525,80
PHAR,-0.03495841640979051,3.9647555530071257,0.002292734268121421,80
Phar_Gland_Dorsal_g2,-0.036852176541067434,-2.6803502548824656,0.44356506566206616,132
Phar_Gland_g1_L,0.009314724788456769,-2.6162773773267674,0.39078323281817623,308
Phar_Gland_g1_R,-0.04923028483365973,-2.6687422858344183,0.41442013945844436,72
Phar_Gland_g2_VL,0.013288993937294435,-2.48555850610137,0.3492228835821152,64
Phar_Gland_g2_VR,-0.05635673989308998,-2.485530521720648,0.34921159967780113,64
Pharyn-Intest-Valve,-0.021620657629682682,-2.322232998907566,0.32662558532319963,128
Pharynx,-5.106752117474874e-08,-4.0942714327857605e-07,9.173438662574404e-06,168
PHBL,0.012409013154683634,3.974306491017342,0.007439064607024193,80
PHBR,-0.03443733216263354,3.9743064612150194,0.0074390777153894305,80
PHCL,0.007021570149809122,4.025883274078369,0.045774491764605046,100
PHCR,-0.0321773849055171,4.025883643627167,0.04577446889132261,100
PHshL,0.007930580002721399,4.151559382677078,0.14219637773931026,32
PHshR,-0.020576621987856925,4.151559203863144,0.14219636004418135,32
PHso1L,0.0070610040067029855,4.179648756980896,0.14478163101843425,56
PHso1R,-0.01986809367580073,4.179648416382926,0.14478160866669246,56
PHso2L,0.006528197496663779,4.184009393056233,0.1452325244123737,48
PHso2R,-0.019324487579676013,4.1840089956919355,0.1452325445910295,48
PLML,0.15662709995586838,2.5441495895385744,0.06613317396905687,180
PLMR,-0.1680919981561601,2.544150217374166,0.06613317502455579,180
PLNL,0.10856813844293356,0.7144453445306191,-0.007368268069023123,208
PLNR,-0.1278830388457411,0.714502775006824,-0.003161527475135194,216
pm1,-0.020861037907057574,-3.2163031565678586,0.5569602916767071,308
pm2D,-0.021279800773805216,-3.3755890909168453,0.6008905019197199,144
pm2VL,-0.00044597027913874225,-3.387311221824752,0.56697628647089,144
