mesh,x,y,z
ADFL,0.012014380656182766,-3.4570817947387695,0.5875319838523865
ADFL,0.01000542426481843,-3.456897020339966,0.5895324051380157
ADFL,0.006926539354026318,-3.4901785254478455,0.5918715000152588
ADFL,0.008935494348406792,-3.490363359451294,0.5898710638284683
ADFL,0.006926539354026318,-3.490548253059387,0.5878706276416779
ADFL,0.0049175843596458435,-3.4903634190559387,0.5898710638284683
ADFL,0.006926539354026318,-3.494608998298645,0.5902633666992188
ADFL,0.06815327145159245,-2.8397409915924072,0.49319182336330414
ADFL,0.07016222923994064,-2.8397409915924072,0.491182878613472
ADFL,0.06815327145159245,-2.8397409915924072,0.48917393386363983
ADFL,0.06614431366324425,-2.8397409915924072,0.491182878613472
ADFL,0.05885186418890953,-2.765084981918335,0.45843394100666046
ADFL,0.06086082011461258,-2.765084981918335,0.4564249888062477
ADFL,0.05885186418890953,-2.765084981918335,0.45441603660583496
ADFL,0.05684290826320648,-2.765084981918335,0.4564249888062477
ADFL,0.04852389823645353,-2.7241034507751465,0.4360029250383377
ADFL,0.050450338050723076,-2.7241361141204834,0.43407706171274185
ADFL,0.04852389823645353,-2.7241687774658203,0.432151198387146
ADFL,0.04659745842218399,-2.7241361141204834,0.43407706171274185
ADFL,-0.01538708247244358,-2.729404628276825,0.36777330189943314
ADFL,-0.012829991988837719,-2.7294809818267822,0.36701611429452896
ADFL,-0.014075657352805138,-2.730973720550537,0.36742764711380005
ADFL,-0.014141417108476162,-2.72791188955307,0.36736176908016205
ADFL,0.027356745675206184,-2.679100215435028,0.4160640612244606
ADFL,0.047356732189655304,-2.6791001558303833,0.4160640686750412
ADFL,0.037356738932430744,-2.6825971603393555,0.4066954478621483
ADFL,0.037356738932430744,-2.675603210926056,0.4254326820373535
ADFL,0.03735673846676946,-2.686330556869507,0.42528940737247467
ADFL,0.03735673846676946,-2.690607011318207,0.4138327017426491
ADFL,0.04347114451229572,-2.6884687542915344,0.4195610582828522
ADFL,0.03124233242124319,-2.688468813896179,0.4195610508322716
ADFL,0.03733099438250065,-2.6985562443733215,0.42335547506809235
ADFL,0.04140373691916466,-2.6985561847686768,0.42335547506809235
ADFL,0.03936736565083265,-2.6989786028862,0.42139004170894623
ADFL,0.03936736565083265,-2.6981338262557983,0.42532090842723846
ADFL,0.03735673846676946,-2.6676506400108337,0.41814202070236206
ADFL,0.03735673846676946,-2.6718124747276306,0.4069921374320984
