genotype,date,recording_id,forward_run_speed_mm_s,reversal_rate_per_min,pirouette_rate_per_min
N2,20260202,N2##20260202,0.1497,0.4348,0.0000
N2,20260202,N2##20260202,0.1682,0.0000,0.0000
N2,20260202,N2##20260202,0.1614,0.0000,0.8276
N2,20260202,N2##20260202,0.1453,0.0000,0.8753
N2,20260202,N2##20260202,0.1343,0.0000,0.0000
N2,20260202,N2##20260202,0.1778,1.0135,0.5068
N2,20260202,N2##20260202,0.1683,0.0000,0.0000
N2,20260202,N2##20260202,0.1536,0.0000,0.0000
N2,20260202,N2##20260202,0.1436,3.1915,3.1915
N2,20260202,N2##20260202,0.1068,0.0000,0.0000
N2,20260202,N2##20260202,0.1778,2.5263,0.0000
N2,20260202,N2##20260202,0.1947,0.0000,0.0000
N2,20260202,N2##20260202,0.2230,0.0000,0.0000
N2,20260202,N2##20260202,0.1562,0.0000,0.0000
N2,20260202,N2##20260202,0.1953,0.0000,0.0000
N2,20260202,N2##20260202,0.1311,1.8576,1.8576
N2,20260202,N2##20260202,0.1639,1.8576,1.8576
N2,20260202,N2##20260202,0.1435,0.0000,0.0000
N2,20260202,N2##20260202,0.1281,0.0000,0.0000
N2,20260202,N2##20260202,0.0800,0.0000,0.0000
N2,20260202,N2##20260202,0.1782,3.8298,3.8298
N2,20260202,N2##20260202,0.2301,0.0000,0.0000
N2,20260202,N2##20260202,0.1631,0.0000,0.0000
N2,20260202,N2##20260202,0.1413,2.5834,3.2293
N2,20260202,N2##20260202,0.1791,0.0000,0.0000
N2,20260202,N2##20260202,0.1194,0.6572,1.3143
N2,20260202,N2##20260202,0.1338,0.0000,8.0000
N2,20260202,N2##20260202,0.1171,0.0000,0.0000
N2,20260202,N2##20260202,0.2008,0.0000,0.0000
N2,20260202,N2##20260202,0.1044,0.0000,0.0000
N2,20260202,N2##20260202,0.1739,1.0670,1.0670
N2,20260202,N2##20260202,0.1453,0.0000,0.0000
N2,20260202,N2##20260202,0.1388,0.0000,0.0000
N2,20260202,N2##20260202,0.1352,0.0000,0.0000
N2,20260202,N2##20260202,0.1389,0.0000,0.0000
N2,20260202,N2##20260202,0.1249,0.0000,0.0000
N2,20260202,N2##20260202,0.1436,0.0000,0.0000
N2,20260202,N2##20260202,0.2160,0.0000,5.5046
N2,20260202,N2##20260202,0.2051,2.5862,2.5862
N2,20260202,N2##20260202,0.1948,0.0000,0.0000
N2,20260202,N2##20260202,0.0930,0.0000,5.1392
